,0
0,Bai
1,Cai
2,Cao
3,Chan
4,Chang
5,Chang
6,Chao
7,Chaw
8,Che
9,Chen
10,Cheng
11,Cho
12,Chou
13,Chow
14,Coi
15,Cou
16,Dong
17,Fang
18,Feng
19,Guo
20,Guo
21,Hu 
22,Hua
23,Huang
24,Jian
25,Jin
26,Lau
27,Lee
28,Lei
29,Li 
30,Lin
31,Ling
32,Liu
33,Lo 
34,Ma 
35,Mao
36,Meng
37,Mo 
38,Mou
39,Na 
40,Ng
41,Ouyang
42,Pang
43,Peng
44,Qiang
45,RenSong
46,Shen
47,Shi
48,Shu
49,Si 
50,Siu
51,Sun
52,Taishi
53,Tao
54,Tong
55,Tsang
56,Tse
57,Tseng
58,Tso
59,Wan
60,Wang
61,Wei
62,Wen
63,Wong
64,Wu 
65,Wu 
66,Xi 
67,Xiao
68,Xin
69,Xing
70,Xiu
71,Xu 
72,Xuan
73,Xun
74,Yang
75,Ying
76,Yong
77,Yuan
78,Yuen
79,Zang
80,Zeng
81,Zhang
82,Zhao
83,Zhen
84,Zheng
85,Zhi
86,Zhou
